"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2026-01-01,NA,"D5","TM",6.6
2026-01-01,"14:11:00","D5","TX",12.9
2026-01-01,"07:25:00","D5","TN",3.6
2026-01-01,NA,"D5","HRM",76
2026-01-01,"19:18:00","D5","HRX",90
2026-01-01,"14:21:00","D5","HRN",60
2026-01-01,NA,"D5","PM",967.7
2026-01-01,"00:00:00","D5","PX",971
2026-01-01,"23:59:00","D5","PN",964.2
2026-01-01,NA,"D5","PPT",0
2026-01-01,NA,"D5","RS24h",8
2026-01-01,NA,"D5","VVM10",5.9
2026-01-01,NA,"D5","DVM10",274
2026-01-01,"09:35:00","D5","VVX10",9.9
2026-01-01,"09:35:00","D5","DVVX10",284
2026-01-01,NA,"X4","TM",10
2026-01-01,"13:32:00","X4","TX",14.1
2026-01-01,"07:17:00","X4","TN",7.2
2026-01-01,NA,"X4","HRM",64
2026-01-01,"20:30:00","X4","HRX",76
2026-01-01,"10:31:00","X4","HRN",51
2026-01-01,NA,"X4","PM",1013.1
2026-01-01,"00:00:00","X4","PX",1016.7
2026-01-01,"23:59:00","X4","PN",1009.4
2026-01-01,NA,"X4","PPT",0
2026-01-01,NA,"X4","RS24h",8.6
2026-01-01,NA,"X4","VVM10",1.8
2026-01-01,NA,"X4","DVM10",276
2026-01-01,"14:34:00","X4","VVX10",8
2026-01-01,"14:34:00","X4","DVVX10",246
2026-01-01,NA,"X8","TM",8.9
2026-01-01,"13:31:00","X8","TX",14.2
2026-01-01,"05:23:00","X8","TN",5.3
2026-01-01,NA,"X8","HRM",69
2026-01-01,"19:33:00","X8","HRX",92
2026-01-01,"14:04:00","X8","HRN",54
2026-01-01,NA,"X8","PM",1007.5
2026-01-01,"00:13:00","X8","PX",1011
2026-01-01,"23:59:00","X8","PN",1003.7
2026-01-01,NA,"X8","PPT",0
2026-01-01,NA,"X8","RS24h",8.2
2026-01-01,NA,"X8","VVM10",1.9
2026-01-01,NA,"X8","DVM10",283
2026-01-01,"13:36:00","X8","VVX10",7.1
2026-01-01,"13:36:00","X8","DVVX10",222
2026-01-02,NA,"D5","TM",6.5
2026-01-02,"23:36:00","D5","TX",9.5
2026-01-02,"05:18:00","D5","TN",2.3
2026-01-02,NA,"D5","HRM",69
2026-01-02,"05:00:00","D5","HRX",85
2026-01-02,"12:42:00","D5","HRN",58
2026-01-02,NA,"D5","PM",961.1
2026-01-02,"00:05:00","D5","PX",964.4
2026-01-02,"23:59:00","D5","PN",958.9
2026-01-02,NA,"D5","PPT",0
2026-01-02,NA,"D5","RS24h",5.3
2026-01-02,NA,"D5","VVM10",5.3
2026-01-02,NA,"D5","DVM10",304
2026-01-02,"10:31:00","D5","VVX10",13.6
2026-01-02,"10:31:00","D5","DVVX10",324
2026-01-02,NA,"X4","TM",10.1
2026-01-02,"12:55:00","X4","TX",13.7
2026-01-02,"05:20:00","X4","TN",6.8
2026-01-02,NA,"X4","HRM",57
2026-01-02,"05:15:00","X4","HRX",65
2026-01-02,"12:55:00","X4","HRN",43
2026-01-02,NA,"X4","PM",1006.2
2026-01-02,"00:00:00","X4","PX",1009.5
2026-01-02,"23:50:00","X4","PN",1003.6
2026-01-02,NA,"X4","PPT",0
2026-01-02,NA,"X4","RS24h",6
2026-01-02,NA,"X4","VVM10",2.2
2026-01-02,NA,"X4","DVM10",309
2026-01-02,"08:41:00","X4","VVX10",9.7
2026-01-02,"08:41:00","X4","DVVX10",337
2026-01-02,NA,"X8","TM",8.9
2026-01-02,"13:23:00","X8","TX",12.5
2026-01-02,"07:26:00","X8","TN",5
2026-01-02,NA,"X8","HRM",62
2026-01-02,"23:54:00","X8","HRX",74
2026-01-02,"12:39:00","X8","HRN",49
2026-01-02,NA,"X8","PM",1000.6
2026-01-02,"00:06:00","X8","PX",1004
2026-01-02,"23:44:00","X8","PN",997.8
2026-01-02,NA,"X8","PPT",0
2026-01-02,NA,"X8","RS24h",6.1
2026-01-02,NA,"X8","VVM10",2.4
2026-01-02,NA,"X8","DVM10",303
2026-01-02,"04:01:00","X8","VVX10",9.1
2026-01-02,"04:01:00","X8","DVVX10",317
2026-01-03,NA,"D5","TM",7.6
2026-01-03,"00:54:00","D5","TX",10.3
